timestamp,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,gyro_x_dps,gyro_y_dps,gyro_z_dps,fsr1_value,fsr2_value,fsr3_value,flex1_value,flex2_value,flex3_value,flex4_value,flex5_value
1740329988.6912177,2.12917236328125,-0.38320312500000003,-9.381291503906251,-6.923664122137405,-1.916030534351145,-1.2366412213740459,939,0,0,10,7,7,6,577
1740329988.6969135,2.0812719726562503,-0.35206787109375004,-9.441166992187501,-6.9541984732824424,-2.2519083969465647,-1.2900763358778626,939,0,0,10,7,7,6,577
1740329988.7022839,2.0836669921875,-0.29219238281250004,-9.455537109375001,-7.122137404580153,-2.6412213740458017,-1.297709923664122,939,0,0,10,7,7,6,577
1740329988.7088203,2.06690185546875,-0.3400927734375,-9.560917968750001,-7.557251908396947,-2.9236641221374047,-1.4351145038167938,939,0,0,10,7,7,6,577
1740329988.7151728,2.11001220703125,-0.3448828125,-9.536967773437501,-8.099236641221374,-2.9160305343511452,-1.4351145038167938,939,0,0,10,7,7,6,577
1740329988.7218587,2.02379150390625,-0.45744873046875,-9.477092285156251,-8.0,-3.2442748091603053,-1.450381679389313,939,0,0,10,7,7,6,577
1740329988.727678,2.0980371093750003,-0.40236328125000004,-9.4794873046875,-8.076335877862595,-2.946564885496183,-1.4809160305343512,939,0,0,10,7,7,6,577
1740329988.734059,2.1028271484375,-0.38320312500000003,-9.4124267578125,-7.893129770992366,-2.6412213740458017,-1.2290076335877862,939,0,0,10,7,7,6,577
1740329988.7397742,2.1124072265625,-0.3592529296875,-9.398056640625,-7.625954198473282,-2.3969465648854964,-1.0458015267175573,939,0,0,10,7,7,6,577
1740329988.746436,2.0980371093750003,-0.33290771484375004,-9.37650146484375,-7.4961832061068705,-2.2519083969465647,-1.2366412213740459,939,0,0,10,7,7,6,577
1740329988.7522764,2.078876953125,-0.3400927734375,-9.417216796875001,-7.351145038167939,-3.877862595419847,-1.2671755725190839,939,0,0,10,7,7,6,577
1740329988.7584112,2.08845703125,-0.3065625,-9.402846679687501,-7.183206106870229,-1.8854961832061068,-1.1603053435114503,939,0,0,10,7,7,6,577
1740329988.764701,2.10043212890625,-0.41912841796875,-9.436376953125,-7.0,-1.9541984732824427,-1.0610687022900764,939,0,0,10,7,7,6,577
1740329988.7713385,2.06211181640625,-0.38559814453125,-9.417216796875001,-7.0458015267175576,-1.534351145038168,-1.1145038167938932,0,0,0,6,5,4,5,577
1740329988.7776887,2.11959228515625,-0.3400927734375,-9.402846679687501,-6.877862595419847,-1.3587786259541985,-1.183206106870229,0,0,0,6,5,4,5,577
1740329988.7857544,2.0812719726562503,-0.3113525390625,-9.42440185546875,-6.770992366412214,-1.1908396946564885,-1.0534351145038168,0,0,0,6,5,4,5,577
1740329988.791091,2.07169189453125,-0.3496728515625,-9.501042480468751,-6.66412213740458,-0.9465648854961832,-1.0610687022900764,0,0,0,6,5,4,5,577
1740329988.800985,2.1124072265625,-0.34248779296875004,-9.2208251953125,-6.32824427480916,-2.618320610687023,-1.3893129770992367,0,0,0,6,5,4,5,577
1740329988.8068023,2.07648193359375,-0.37362304687500003,-9.6183984375,-8.358778625954198,-3.045801526717557,-1.4580152671755726,0,0,0,6,5,4,5,577
1740329988.812826,2.0932470703125,-0.3688330078125,-9.43877197265625,-8.34351145038168,-2.6793893129770994,-1.6412213740458015,0,0,0,6,5,4,5,577
1740329988.8185716,2.12677734375,-0.32332763671875003,-9.2495654296875,-7.6106870229007635,-2.5877862595419847,-1.3740458015267176,0,0,0,6,5,4,5,577
1740329988.8243384,2.0261865234375,-0.3400927734375,-9.4220068359375,-7.480916030534351,-2.931297709923664,-1.4274809160305344,0,0,0,6,5,4,5,577
1740329988.833779,2.04295166015625,-0.3879931640625,-9.553732910156251,-8.122137404580153,-2.2442748091603053,-1.3893129770992367,0,0,0,6,5,4,5,577
1740329988.839732,1.9040405273437502,-0.3448828125,-9.335786132812501,-7.6106870229007635,-2.2900763358778624,-1.2366412213740459,0,0,0,6,5,4,5,577
1740329988.8458788,2.12677734375,-0.36643798828125,-9.254355468750001,-7.343511450381679,-3.877862595419847,-1.213740458015267,0,0,0,6,5,4,5,577
1740329988.8520591,2.11480224609375,-0.43349853515625003,-9.46751220703125,-7.633587786259542,-1.465648854961832,-1.0534351145038168,0,0,0,6,5,4,5,577
1740329988.8595424,2.0812719726562503,-0.3113525390625,-9.39087158203125,-7.190839694656488,-1.1068702290076335,-1.1374045801526718,0,0,0,6,5,4,5,577
1740329988.8650148,2.03337158203125,-0.335302734375,-9.469907226562501,-6.557251908396947,-3.9083969465648853,-1.3587786259541985,0,0,0,6,5,4,5,577
1740329988.872699,2.0836669921875,-0.42152343750000004,-9.2878857421875,-6.564885496183206,-2.5801526717557253,-1.0916030534351144,0,0,0,2,2,3,3,584
1740329988.8780375,2.0477416992187503,-0.41912841796875,-9.474697265625,-7.0534351145038165,-1.7404580152671756,-1.2671755725190839,0,0,0,2,2,3,3,584
1740329988.8872054,2.11959228515625,-0.4071533203125,-9.23280029296875,-6.969465648854962,-2.2061068702290076,-1.1755725190839694,0,0,0,2,2,3,3,584
1740329988.8939502,2.117197265625,-0.37362304687500003,-9.635163574218751,-7.061068702290076,-2.2442748091603053,-1.2061068702290076,0,0,0,2,2,3,3,584
1740329988.9033403,2.0908520507812502,-0.3592529296875,-9.374106445312501,-7.6183206106870225,-3.114503816793893,-1.4351145038167938,0,0,0,2,2,3,3,584
1740329988.9096112,2.11001220703125,-0.39278320312500004,-9.4315869140625,-9.709923664122137,-3.236641221374046,-1.3129770992366412,0,0,0,2,2,3,3,584
1740329988.9186125,2.1219873046875,-0.3879931640625,-9.47230224609375,-8.045801526717558,-2.984732824427481,-1.5572519083969465,0,0,0,2,2,3,3,584
1740329988.9239051,2.14354248046875,-0.30416748046875003,-9.48188232421875,-8.007633587786259,-2.9389312977099236,-1.4351145038167938,0,0,0,2,2,3,3,584
1740329988.9312637,1.99984130859375,-0.3688330078125,-9.5465478515625,-8.320610687022901,-3.0,-1.381679389312977,0,0,0,2,2,3,3,584
1740329988.9385824,2.07169189453125,-0.34727783203125,-9.381291503906251,-7.916030534351145,-2.9618320610687023,-1.2748091603053435,0,0,0,2,2,3,3,584
1740329988.9453049,2.14354248046875,-0.43828857421875,-9.398056640625,-7.740458015267175,-2.6946564885496183,-1.251908396946565,0,0,0,2,2,3,3,584
1740329988.9529722,2.0549267578125,-0.335302734375,-9.350156250000001,-7.717557251908397,-2.5343511450381677,-1.2671755725190839,0,0,0,2,2,3,3,584
1740329988.958491,2.10043212890625,-0.38559814453125,-9.3645263671875,-7.572519083969466,-2.030534351145038,-1.2366412213740459,0,0,0,2,2,3,3,584
1740329988.9640656,2.10043212890625,-0.18681152343750002,-9.48188232421875,-7.374045801526718,-1.5801526717557253,-1.213740458015267,0,0,0,2,2,3,3,584
1740329988.9740133,2.12917236328125,-0.30895751953125,-9.441166992187501,-6.931297709923665,-1.4274809160305344,-1.0763358778625953,0,0,0,4,4,4,3,582
1740329988.9811664,2.1411474609375003,-0.34727783203125,-9.5417578125,-7.00763358778626,-0.015267175572519083,-1.1068702290076335,0,0,0,4,4,4,3,582
1740329988.9872696,2.28245361328125,-0.3400927734375,-9.44356201171875,-7.458015267175573,-2.0916030534351147,-1.1297709923664123,0,0,0,4,4,4,3,582
1740329988.9935782,2.1339624023437502,-0.35685791015625,-9.42440185546875,-7.66412213740458,-2.2290076335877864,-1.3282442748091603,0,0,0,4,4,4,3,582
1740329989.008371,2.1219873046875,-0.354462890625,-9.41961181640625,-7.885496183206107,-3.0916030534351147,-1.4045801526717556,0,0,0,4,4,4,3,582
1740329989.0164971,2.0453466796875,-0.39517822265625,-9.433981933593751,-8.01526717557252,-2.877862595419847,-1.4122137404580153,0,0,0,4,4,4,3,582
1740329989.0226893,2.117197265625,-0.32332763671875003,-9.3645263671875,-8.022900763358779,-3.122137404580153,-1.4198473282442747,0,0,0,4,4,4,3,582
1740329989.0282285,2.1028271484375,-0.37122802734375004,-9.45793212890625,-7.770992366412214,-3.1068702290076335,-1.4885496183206106,0,0,0,4,4,4,3,582
1740329989.036425,2.11959228515625,-0.39038818359375,-9.4124267578125,-7.717557251908397,-3.030534351145038,-1.3053435114503817,0,0,0,4,4,4,3,582
1740329989.0425313,2.08845703125,-0.316142578125,-9.41961181640625,-7.9465648854961835,-2.8244274809160306,-1.5190839694656488,0,0,0,4,4,4,3,582
1740329989.0496898,2.1411474609375003,-0.34248779296875004,-9.43877197265625,-7.893129770992366,-2.7099236641221376,-1.2900763358778626,0,0,0,4,4,4,3,582
1740329989.0551934,2.12917236328125,-0.38320312500000003,-9.3166259765625,-7.4961832061068705,-2.3587786259541983,-1.3358778625954197,0,0,0,4,4,4,3,582
1740329989.0607874,2.00942138671875,-0.38080810546875005,-9.395661621093751,-7.5038167938931295,-2.213740458015267,-1.16793893129771,0,0,0,4,4,4,3,582
1740329989.0675027,2.10043212890625,-0.3448828125,-9.340576171875,-7.5038167938931295,-2.1755725190839694,-1.1984732824427482,0,0,0,4,4,4,3,582
1740329989.0728855,2.08845703125,-0.38559814453125,-9.44595703125,-7.3816793893129775,-1.7709923664122138,-1.3053435114503817,0,0,0,3,3,4,3,584
1740329989.0804145,2.11480224609375,-0.37362304687500003,-9.410031738281251,-7.083969465648855,-1.9770992366412214,-1.183206106870229,0,0,0,3,3,4,3,584
1740329989.0898802,2.1124072265625,-0.42391845703125003,-9.378896484375,-7.229007633587786,-2.5343511450381677,-1.1908396946564885,0,0,0,3,3,4,3,584
1740329989.0984285,2.11001220703125,-0.3784130859375,-9.493857421875001,-7.312977099236641,-2.549618320610687,-1.4045801526717556,0,0,0,3,3,4,3,584
1740329989.1067774,2.14354248046875,-0.3496728515625,-9.398056640625,-7.4961832061068705,-2.83206106870229,-1.3740458015267176,0,0,0,3,3,4,3,584
1740329989.1169567,2.14833251953125,-0.3113525390625,-9.44356201171875,-7.557251908396947,-2.763358778625954,-1.4045801526717556,0,0,0,3,3,4,3,584
1740329989.128449,2.0908520507812502,-0.36404296875000003,-9.206455078125,-7.603053435114504,-2.2595419847328246,-1.3129770992366412,0,0,0,3,3,4,3,584
1740329989.1392035,2.08845703125,-0.34727783203125,-9.4651171875,-7.374045801526718,-1.6870229007633588,-1.1145038167938932,0,0,0,3,3,4,3,584
1740329989.1488936,2.2537133789062502,-0.31374755859375003,-9.40524169921875,-6.778625954198473,-1.549618320610687,-1.1374045801526718,0,0,0,3,3,4,3,584
1740329989.1595352,2.05732177734375,-0.31374755859375003,-9.410031738281251,-6.9541984732824424,-1.213740458015267,-1.1145038167938932,0,0,0,3,3,4,3,584
1740329989.1682057,2.059716796875,-0.29458740234375,-9.36931640625,-6.7251908396946565,-1.4045801526717556,-1.083969465648855,0,0,0,3,3,4,3,584
1740329989.176286,2.0908520507812502,-0.31374755859375003,-9.40763671875,-6.5038167938931295,-1.6412213740458015,-1.083969465648855,0,0,0,3,4,4,4,591
