This takes samples from 1 FSR and the MPU6050. We got 623 samples from 1600 expected samples(200HZ sampling rate for 8 seconds) due to some I/O operations overhead which will be fixed.
However the data successfully reflected the motion performed:
1. Press fsr and imu unchanged
2.Press FSR
3. Rotate IMU (this can be perceived from accel z value changing from the gravity constant to a smaller value as well as the gyro values)
4. IMU back to original position
5. FSR released
timestamp,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,gyro_x_dps,gyro_y_dps,gyro_z_dps,fsr_value
1739750161.3138797,-3.70030517578125,0.354462890625,9.29507080078125,-7.656488549618321,-2.5267175572519083,-1.1908396946564885,0
1739750161.3251326,-3.73383544921875,0.3305126953125,9.30944091796875,-7.480916030534351,-2.6412213740458017,-1.282442748091603,0
1739750161.3357925,-3.6979101562500003,0.3592529296875,9.36692138671875,-7.587786259541985,-2.4656488549618323,-1.3206106870229009,0
1739750161.3473759,-3.7817358398437504,0.1676513671875,9.37171142578125,-7.648854961832061,-2.6412213740458017,-1.282442748091603,0
1739750161.3588314,-3.7314404296875003,0.30895751953125,9.30944091796875,-7.702290076335878,-2.3435114503816794,-1.0381679389312977,0
1739750161.3691359,-3.7482055664062504,0.4454736328125,9.2495654296875,-7.480916030534351,-2.435114503816794,-1.251908396946565,0
1739750161.3794425,-3.7410205078125003,0.30895751953125,9.3262060546875,-7.648854961832061,-2.572519083969466,-1.4351145038167938,0
1739750161.393372,-3.69551513671875,0.3496728515625,9.29986083984375,-7.8396946564885495,-2.366412213740458,-1.450381679389313,0
1739750161.404024,-3.7242553710937503,0.45026367187500005,9.3836865234375,-7.534351145038168,-2.427480916030534,-0.9770992366412213,0
1739750161.4168017,-3.69551513671875,0.31374755859375003,9.342971191406251,-7.67175572519084,-2.618320610687023,-1.297709923664122,0
1739750161.4272096,-3.71946533203125,0.44786865234375,9.36213134765625,-7.67175572519084,-2.3969465648854964,-1.2671755725190839,0
1739750161.43764,-3.66677490234375,0.35206787109375004,9.33099609375,-7.549618320610687,-2.4885496183206106,-1.16793893129771,0
1739750161.4478009,-3.75299560546875,0.354462890625,9.30944091796875,-7.687022900763359,-2.381679389312977,-1.366412213740458,0
1739750161.4579651,-3.70988525390625,0.32811767578125,9.4794873046875,-9.763358778625955,-2.564885496183206,-1.0763358778625953,0
1739750161.4680998,-3.71946533203125,0.277822265625,9.33339111328125,-7.603053435114504,-2.3282442748091605,-1.2290076335877862,0
1739750161.4782283,-3.73623046875,0.3305126953125,9.196875,-7.633587786259542,-2.5419847328244276,-1.5114503816793894,0
1739750161.488378,-3.77215576171875,0.33290771484375004,9.32381103515625,-7.282442748091603,-2.786259541984733,-1.1603053435114503,0
1739750161.4985032,-3.7386254882812504,0.41194335937500004,9.395661621093751,-7.66412213740458,-2.5572519083969465,-1.2900763358778626,0
1739750161.5086336,-3.75299560546875,0.354462890625,9.261540527343751,-7.6183206106870225,-2.0916030534351147,-1.1374045801526718,0
1739750161.5187635,-3.72904541015625,0.37362304687500003,9.275910644531251,-7.351145038167939,-2.6793893129770994,-1.3740458015267176,0
1739750161.5289667,-3.7122802734375,0.3305126953125,9.3453662109375,-7.709923664122138,-2.648854961832061,-1.4580152671755726,0
1739750161.539098,-3.7577856445312503,0.3065625,9.275910644531251,-9.725190839694656,-2.3893129770992365,-1.4809160305343512,0
1739750161.5492258,-3.70030517578125,0.30895751953125,9.263935546875,-7.755725190839694,-2.236641221374046,-1.4427480916030535,0
1739750161.5593512,-3.7697607421875,0.316142578125,9.33818115234375,-7.6106870229007635,-2.1526717557251906,-1.2061068702290076,0
1739750161.5694807,-3.76257568359375,0.34727783203125,9.28549072265625,-7.564885496183206,-2.572519083969466,-1.1908396946564885,0
1739750161.579606,-3.70988525390625,0.36404296875000003,9.24238037109375,-7.442748091603053,-2.2290076335877864,-1.183206106870229,0
1739750161.5897284,-3.73383544921875,0.32811767578125,9.3645263671875,-7.625954198473282,-2.33587786259542,-1.4427480916030535,0
1739750161.599852,-3.7817358398437504,0.35206787109375004,9.28549072265625,-7.702290076335878,-2.183206106870229,-1.4732824427480915,0
1739750161.609979,-3.78652587890625,0.30177246093750004,9.37650146484375,-7.816793893129771,-3.045801526717557,-1.297709923664122,0
1739750161.6201084,-3.74341552734375,0.27303222656250004,9.223220214843751,-7.824427480916031,-1.9236641221374047,-1.1984732824427482,0
1739750161.6308992,-3.7170703125,0.2347119140625,9.321416015625001,-7.061068702290076,-2.7938931297709924,-1.0305343511450382,0
1739750161.6412196,-3.7601806640625,0.36164794921875004,9.36213134765625,-7.984732824427481,-1.8931297709923665,-1.2442748091603053,0
1739750161.6517913,-3.669169921875,0.335302734375,9.321416015625001,-6.977099236641221,-3.0,-1.0458015267175573,0
1739750161.6619503,-3.76257568359375,0.38320312500000003,9.33818115234375,-7.793893129770993,-2.7709923664122136,-1.3358778625954197,0
1739750161.6720846,-3.5589990234375,0.33769775390625,9.21364013671875,-8.022900763358779,-1.282442748091603,-1.297709923664122,0
