timestamp,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,gyro_x_dps,gyro_y_dps,gyro_z_dps,fsr1_value,fsr2_value,fsr3_value
1739816973.605568,1.6046630859375002,-0.85502197265625,-9.417216796875001,-7.541984732824427,-2.366412213740458,-1.1755725190839694,6,784,6
1739816973.6186967,1.68369873046875,-0.83107177734375,-9.44356201171875,-7.587786259541985,-2.5343511450381677,-1.3053435114503817,6,784,6
1739816973.6344151,1.62142822265625,-0.833466796875,-9.48667236328125,-7.580152671755725,-2.3206106870229006,-1.465648854961832,6,784,6
1739816973.648345,1.6621435546875,-0.8454418945312501,-9.647138671875,-7.641221374045801,-2.2977099236641223,-1.381679389312977,6,784,6
1739816973.6629279,1.6262182617187502,-0.85981201171875,-9.3836865234375,-7.435114503816794,-2.5572519083969465,-1.2748091603053435,6,784,6
1739816973.6768448,1.62861328125,-0.8574169921875,-9.38608154296875,-7.534351145038168,-2.5343511450381677,-1.3358778625954197,6,784,6
1739816973.6910477,1.5950830078125,-0.8214916992187501,-9.63755859375,-7.564885496183206,-2.4885496183206106,-1.4427480916030535,6,798,6
1739816973.7042544,1.676513671875,-0.8095166015625,-9.4220068359375,-7.465648854961832,-2.49618320610687,-1.251908396946565,6,798,6
1739816973.7177556,1.6142431640625001,-0.85023193359375,-9.5178076171875,-7.580152671755725,-2.549618320610687,-1.1908396946564885,6,798,6
1739816973.7350378,1.61663818359375,-0.77359130859375,-9.47230224609375,-7.549618320610687,-2.633587786259542,-0.9236641221374046,6,798,6
1739816973.754991,1.6238232421875,-0.8622070312500001,-9.553732910156251,-7.251908396946565,-2.1603053435114505,-1.1374045801526718,6,798,6
1739816973.7688365,1.57352783203125,-0.87897216796875,-9.65432373046875,-5.129770992366412,-2.3206106870229006,-0.9007633587786259,6,798,6
1739816973.7823408,1.6094531250000002,-1.0394384765625,-9.22801025390625,-9.213740458015268,-1.916030534351145,-0.7938931297709924,6,798,6
1739816973.796012,1.561552734375,-0.89334228515625,-9.237590332031251,-4.022900763358779,-2.6946564885496183,-1.0458015267175573,6,802,6
1739816973.8096323,1.60226806640625,-0.8622070312500001,-9.4986474609375,-5.33587786259542,-2.5343511450381677,-1.297709923664122,6,802,6
1739816973.8229523,1.62861328125,-0.85502197265625,-9.398056640625,-8.236641221374045,-2.816793893129771,-1.1221374045801527,6,802,6
1739816973.8362448,1.5543676757812501,-0.8574169921875,-9.553732910156251,-7.473282442748092,-2.5572519083969465,-1.2900763358778626,6,802,6
1739816973.8500595,1.6262182617187502,-0.7999365234375,-9.57289306640625,-7.564885496183206,-2.519083969465649,-1.1603053435114503,6,802,6
1739816973.8645215,1.6717236328125,-0.83107177734375,-9.441166992187501,-7.427480916030534,-2.282442748091603,-1.3511450381679388,6,802,6
1739816973.8778048,1.6477734375000002,-0.8646020507812501,-9.6519287109375,-7.67175572519084,-2.351145038167939,-1.183206106870229,6,802,6
1739816973.8905463,1.5878979492187502,-0.85502197265625,-9.47230224609375,-7.595419847328245,-2.2977099236641223,-1.3893129770992367,6,802,6
1739816973.903266,1.6621435546875,-0.79275146484375,-9.656718750000001,-7.435114503816794,-2.549618320610687,-1.3740458015267176,6,822,7
1739816973.9159296,1.64058837890625,-0.9077124023437501,-9.36931640625,-7.526717557251908,-2.564885496183206,-1.297709923664122,6,822,7
1739816973.9288273,1.62142822265625,-0.79275146484375,-9.50583251953125,-7.595419847328245,-2.7404580152671754,-1.3740458015267176,6,822,7
1739816973.9416754,1.6908837890625001,-0.814306640625,-9.4651171875,-7.450381679389313,-2.572519083969466,-1.251908396946565,6,822,7
1739816973.954442,1.6693286132812502,-0.9029223632812501,-9.3549462890625,-7.648854961832061,-2.3053435114503817,-1.450381679389313,6,822,7
1739816973.96722,1.62861328125,-0.8071215820312501,-9.529782714843751,-7.625954198473282,-2.3206106870229006,-1.3282442748091603,6,822,7
1739816973.9799504,1.657353515625,-0.8406518554687501,-9.48427734375,-7.442748091603053,-2.3969465648854964,-1.3206106870229009,6,822,7
1739816973.9926145,1.6693286132812502,-0.8669970703125001,-9.3549462890625,-7.541984732824427,-2.6564885496183206,-1.2900763358778626,6,822,6
1739816974.0052698,1.6238232421875,-0.76880126953125,-9.378896484375,-7.648854961832061,-2.282442748091603,-1.4274809160305344,6,822,6
1739816974.0179465,1.791474609375,-0.8478369140625001,-9.477092285156251,-7.702290076335878,-2.450381679389313,-1.3129770992366412,6,822,6
1739816974.0339594,1.5759228515625001,-0.833466796875,-9.5657080078125,-7.587786259541985,-2.5114503816793894,-1.1068702290076335,6,822,6
1739816974.0467029,1.6046630859375002,-0.8478369140625001,-9.321416015625001,-7.595419847328245,-2.4122137404580153,-1.1374045801526718,6,822,6
1739816974.059548,1.65016845703125,-0.833466796875,-9.3645263671875,-7.648854961832061,-2.3435114503816794,-1.213740458015267,6,822,6
1739816974.0723135,1.5878979492187502,-0.85023193359375,-9.6183984375,-7.603053435114504,-2.648854961832061,-1.2366412213740459,6,822,6
1739816974.0852838,1.6310083007812501,-0.8430468750000001,-9.4651171875,-5.885496183206107,-2.5801526717557253,-1.1755725190839694,6,822,6
1739816974.0981333,1.8154248046875001,-0.8238867187500001,-9.522597656250001,-7.366412213740458,-2.633587786259542,-1.2290076335877862,6,824,7
1739816974.1107686,1.657353515625,-0.85023193359375,-9.48667236328125,-7.549618320610687,-2.5267175572519083,-1.2290076335877862,6,824,7
1739816974.1235888,1.69806884765625,-0.9029223632812501,-9.5178076171875,-7.465648854961832,-2.3969465648854964,-1.4580152671755726,6,824,7
1739816974.136657,1.6334033203125,-0.8071215820312501,-9.417216796875001,-7.450381679389313,-2.3969465648854964,-1.3053435114503817,6,824,7
1739816974.1497476,1.62861328125,-0.8262817382812501,-9.3932666015625,-7.595419847328245,-2.5343511450381677,-1.4580152671755726,6,824,7
1739816974.1665995,1.8273999023437502,-0.8669970703125001,-9.35255126953125,-7.519083969465649,-2.4122137404580153,-1.381679389312977,6,824,7
1739816974.1798964,1.6693286132812502,-0.871787109375,-9.3549462890625,-7.5038167938931295,-2.5114503816793894,-1.4045801526717556,6,824,7
1739816974.1927657,1.6429833984375002,-0.83586181640625,-9.613608398437501,-7.473282442748092,-2.633587786259542,-1.4274809160305344,6,824,7
1739816974.2076688,1.59747802734375,-0.8190966796875,-9.441166992187501,-7.603053435114504,-2.351145038167939,-1.2595419847328244,6,829,6
1739816974.2204103,1.6334033203125,-0.8646020507812501,-9.436376953125,-7.595419847328245,-2.5419847328244276,-1.0687022900763359,6,829,6
1739816974.2331614,1.580712890625,-0.8071215820312501,-9.46751220703125,-7.557251908396947,-2.4580152671755724,-1.1068702290076335,6,829,6
1739816974.2458963,1.6334033203125,-0.7999365234375,-9.36692138671875,-7.458015267175573,-2.4198473282442747,-1.2595419847328244,6,829,6
1739816974.258925,1.6334033203125,-0.890947265625,-9.357341308593751,-7.694656488549619,-2.6030534351145036,-1.3358778625954197,6,829,6
1739816974.272275,1.65974853515625,-0.8622070312500001,-9.4603271484375,-7.641221374045801,-2.519083969465649,-1.1374045801526718,6,829,6
1739816974.285185,1.6525634765625001,-0.8430468750000001,-9.455537109375001,-7.396946564885496,-2.4885496183206106,-1.3358778625954197,6,829,6
1739816974.2985113,1.657353515625,-0.86939208984375,-9.49625244140625,-7.702290076335878,-2.5877862595419847,-1.3435114503816794,6,818,6
1739816974.3124416,1.68369873046875,-0.83586181640625,-9.477092285156251,-7.511450381679389,-2.549618320610687,-1.2900763358778626,6,818,6
1739816974.3261924,1.5376025390625,-0.8262817382812501,-9.402846679687501,-7.687022900763359,-2.618320610687023,-1.1526717557251909,6,818,6
1739816974.338905,1.6310083007812501,-0.8430468750000001,-9.462722167968751,-7.4961832061068705,-2.4732824427480917,-1.2595419847328244,6,818,6
1739816974.3515403,1.619033203125,-0.8454418945312501,-9.47230224609375,-7.6183206106870225,-2.4656488549618323,-1.2748091603053435,6,818,6
1739816974.3642235,1.657353515625,-0.8478369140625001,-9.44356201171875,-7.67175572519084,-2.2977099236641223,-1.213740458015267,6,818,6
1739816974.3768873,1.67890869140625,-0.8454418945312501,-9.5034375,-7.603053435114504,-2.595419847328244,-1.366412213740458,6,818,6
1739816974.389543,1.7962646484375,-0.83107177734375,-9.45314208984375,-7.580152671755725,-2.5114503816793894,-1.0305343511450382,6,818,6
1739816974.4021983,1.62142822265625,-0.8095166015625,-9.448352050781251,-7.595419847328245,-2.3893129770992365,-1.1145038167938932,6,821,6
1739816974.414852,1.6477734375000002,-0.814306640625,-9.42440185546875,-6.061068702290076,-0.7709923664122137,-3.2061068702290076,6,821,6
1739816974.4275026,1.47533203125,-1.1304492187500002,-9.2112451171875,-9.442748091603054,-3.122137404580153,-0.2824427480916031,6,821,6
1739816974.4401517,1.6693286132812502,-0.8023315429687501,-9.53936279296875,-7.412213740458015,-2.5114503816793894,-0.9312977099236641,6,821,6
1739816974.4528103,1.65495849609375,-0.8286767578125,-9.448352050781251,-7.526717557251908,-2.2748091603053435,-1.5801526717557253,6,821,6
1739816974.4654744,1.79865966796875,-0.85023193359375,-9.410031738281251,-7.572519083969466,-2.2061068702290076,-1.0534351145038168,6,821,6
1739816974.478135,1.6525634765625001,-0.871787109375,-9.37171142578125,-7.511450381679389,-2.366412213740458,-1.2213740458015268,6,821,6
1739816974.490786,1.676513671875,-0.8574169921875,-9.55852294921875,-7.740458015267175,-2.2900763358778624,-1.2595419847328244,6,821,6
1739816974.503437,1.6621435546875,-0.833466796875,-9.455537109375001,-7.4961832061068705,-2.480916030534351,-1.2442748091603053,6,819,6
1739816974.5160885,1.64058837890625,-0.8071215820312501,-9.462722167968751,-7.511450381679389,-2.5343511450381677,-1.381679389312977,6,819,6
1739816974.5287416,1.67890869140625,-0.8095166015625,-9.441166992187501,-7.648854961832061,-2.49618320610687,-1.1755725190839694,6,819,6
1739816974.5413992,1.6693286132812502,-0.8574169921875,-9.36213134765625,-7.603053435114504,-2.2900763358778624,-1.3511450381679388,6,819,6
1739816974.5540516,1.68369873046875,-0.83586181640625,-9.474697265625,-7.519083969465649,-2.2519083969465647,-1.2595419847328244,6,819,6
1739816974.566728,1.64537841796875,-0.8957373046875,-9.4890673828125,-7.458015267175573,-2.4427480916030535,-1.2366412213740459,6,819,6
1739816974.579382,1.6525634765625001,-0.83586181640625,-9.513017578125,-7.526717557251908,-2.4427480916030535,-1.2442748091603053,6,819,6
1739816974.5920322,1.6046630859375002,-0.814306640625,-9.620793457031251,-7.580152671755725,-2.595419847328244,-1.1603053435114503,6,819,6
1739816974.604722,1.6334033203125,-0.8622070312500001,-9.6183984375,-7.656488549618321,-2.435114503816794,-1.282442748091603,6,815,6
1739816974.6173966,1.64058837890625,-0.8837622070312501,-9.41961181640625,-7.595419847328245,-2.3969465648854964,-1.297709923664122,6,815,6
